Unique ID,feature_name,Honorees,City,County,State,Side,Coordinates,Symbol Type,Sponsors,Year Dedicated,Year Removed,Tracking Status,Removed After Charlottesville,Symbol Location,Symbol Type Other
2197,Jefferson Davis Memorial Highway Marker I,Jefferson Davis,San Antonio,Bexar,TX,South,"29.423867,-98.493750",Monument,American Legion Central Council of Bexar County,1936,,Live,0,Courthouse grounds,
3142,Lee Sreet,Robert E. Lee,Mount Pleasant,Titus,TX,South,"33.156063,-94.966237",Roadway,Unknown,,,Live,0,,
1336,Breckinridge Place,John C. Breckinridge,Alexandria,Alexandria,VA,South,"38.817773,-77.139151",Roadway,Unknown,,,Live,0,,
1118,Robert E Lee Street,Robert E. Lee,San Antonio,Bexar,TX,South,"29.370182,-98.500391",Roadway,Unknown,,,Live,0,,
2159,Confederate Monument,No specific honoree,Mount Vernon,Franklin,TX,South,"33.189194,-95.220944",Monument,United Confederate Veterans,,,Live,0,Courthouse grounds,
1338,Chambliss Street,"John Randolph Chambliss, Jr.",Alexandria,Alexandria,VA,South,"38.828621,-77.136355",Roadway,Unknown,,,Live,0,,
3121,Stonewall Flanders Elementary,"Thomas Jonathan ""Stonewall"" Jackson",San Antonio,Bexar,TX,South,"29.372934,-98.517952",School,Unknown,1924,,Live,0,,
1149,Pickett Place,George Pickett,Missouri City,Fort Bend,TX,South,"29.539597,-95.512106",Roadway,Unknown,,,Live,0,,
1210,Confederate Soldier Statue,No specific honoree,Mount Pleasant,Titus,TX,South,"33.156800,-94.968683",Monument,United Daughters of the Confederacy,1911,,Live,0,Courthouse grounds,
1230,John H. Reagan Park,John Henninger Reagan,Palestine,Anderson,TX,South,"31.757968,-95.625838",Other,Sons of Confederate Veterans,,,Live,0,,Park
1340,Donelson Street,Daniel Smith Donelson,Alexandria,Alexandria,VA,South,"38.811054,-77.096705",Roadway,Unknown,,,Live,0,,
1179,Confederate Soldier,No specific honoree,Sherman,Grayson,TX,South,"33.636267,-96.609500",Monument,United Daughters of the Confederacy,1896,,Live,0,,
1176,John H. Reagan Statue,John Henninger Reagan,Palestine,Anderson,TX,South,"31.758078,-95.626071",Monument,United Daughters of the Confederacy,1911,,Live,0,,
1341,Early Street,Jubal Anderson Early,Alexandria,Alexandria,VA,South,"38.810718,-77.098004",Roadway,Unknown,,,Live,0,,
1110,Scurry County,William Read Scurry,Snyder,Scurry,TX,South,"32.716540,-100.917840",County/Municipality,Unknown,1884,,Live,0,,
1103,Ector County,Mathew Duncan Ector,Odessa,Ector,TX,South,"31.847375,-102.368211",County/Municipality,Unknown,1891,,Live,0,,
3125,Reagan Academic Magnet School,John Henninger Reagan,Odessa,Ector,TX,South,"31.870590,-102.348208",School,Unknown,1956,,Live,0,,
1339,Dearing Street,James Dearing,Alexandria,Alexandria,VA,South,"38.830127,-77.094147",Roadway,Unknown,,,Live,0,,
1109,Terrell County,Alexander W. Terrell,Sanderson,Terrell,TX,South,"30.143214,-102.394958",County/Municipality,State of Texas,1905,,Live,0,,
1105,Reeves County,George R. Reeves,Pecos,Reeves,TX,South,"31.424172,-103.494257",County/Municipality,State of Texas,1884,,Live,0,,
1344,Frost Street,Daniel Marsh Frost,Alexandria,Alexandria,VA,South,"38.824247,-77.099833",Roadway,Unknown,,,Live,0,,
2204,Major George B. Erath Monument,George B. Erath,Stephenville,Erath,TX,South,"32.220333,-98.204050",Monument,Sons and Daughters of Confederate Veterans,2001,,Live,0,Courthouse grounds,
1106,Ochiltree County,William Beck Ochiltree,Perryton,Ochiltree,TX,South,"36.394837,-100.802148",County/Municipality,Unknown,1889,,Live,0,,
1345,Gordon Street,John Brown Gordon,Alexandria,Alexandria,VA,South,"38.809847,-77.104817",Roadway,Unknown,,,Live,0,,
1134,Robert Lee Highway,Robert E. Lee,Sterling City,Sterling,TX,South,"31.840977,-100.975829",Roadway,Unknown,,,Live,0,,
1104,Gray County,Peter W. Gray,Pampa,Gray,TX,South,"35.535538,-100.963077",County/Municipality,Unknown,1902,,Live,0,,
1342,Floyd Street,John Buchanan Floyd,Alexandria,Alexandria,VA,South,"38.809631,-77.099720",Roadway,Unknown,,,Live,0,,
1213,Texas Confederate William R. Scurry Monument,No specific honoree,Snyder,Scurry,TX,South,"32.716931,-100.917443",Monument,Unknown,1963,,Live,0,Courthouse grounds,
1211,Confederate Monument,No specific honoree,Paris,Lamar,TX,South,"33.662265,-95.556995",Monument,United Daughters of the Confederacy,1903,,Live,0,Courthouse grounds,
1343,French Street,Samuel Gibbs French,Alexandria,Alexandria,VA,South,"38.809539,-77.101782",Roadway,Unknown,,,Live,0,,
1111,Sutton County,John S. Sutton,Sonora,Sutton,TX,South,"30.570778,-100.646673",County/Municipality,Unknown,1890,,Live,0,,
1334,Bragg Street,Braxton Bragg,Alexandria,Alexandria,VA,South,"38.815278,-77.141725",Roadway,Unknown,,,Live,0,,
1418,Confederate Monument,No specific honoree,Bland,Bland,VA,South,"37.100350,-81.115483",Monument,United Daughters of the Confederacy,1911,,Live,0,Courthouse grounds,
